rel_vol,dice
1.9,0.761
1.4,0.698
6.4,0.838
3.4,0.774
4.6,0.762
12.2,0.85
16.5,0.831
4.5,0.72
44,0.853
0.5,0.502
4.6,0.796
2,0.802
1.3,0.752
6.6,0.83
3.6,0.755
4.3,0.792
12.4,0.882
16.8,0.881
4.3,0.774
43.8,0.856
0.6,0.626
4.4,0.778
27.1,0.413
18.6,0.586
1.9,0.033
3.5,0.03
9.9,0.518
29,0.426
3.7,0.127
2.2,NA
2.7,0.079
0.7,0.001
0.2,0
0.6,NA
27,0.849
18.4,0.823
2.1,0.83
3.6,0.761
9.5,0.859
29.5,0.85
3.5,0.757
2.4,0.713
2.7,0.744
0.7,0.704
0.2,NA
0.4,NA
25.1,0.837
14.6,0.751
14.3,0.804
7.3,0.823
0.6,0.62
8.3,0.81
12.6,0.87
2.3,0.706
14.8,0.895
25.6,0.84
15.1,0.735
14.4,0.754
7.4,0.835
0.6,0
8.2,0.848
12.5,0.854
2.4,0.68
13.8,0.883
12.2,0.812
11.9,0.766
11.8,0.85
11.4,0.809
8.3,0.801
7.8,0.822
12,0.865
12.2,0.862
3.4,0.843
3.5,0.801
2.8,0.815
2.7,0.803
37.4,0.942
37.6,0.953
13.1,0.915
11,0.858
0.6,0.665
0.2,NA
0.2,NA
