 rel_vol_AP dice_AP rel_vol_FL dice_FL rel_vol_CR dice_CR rel_vol_FR dice_FR
 37.4 0.921 27.1 0.812 25.6 0.746 27 0.816
 37.6 0.92 18.6 0.765 15.1 0.706 18.4 0.784
 13.1 0.907 1.9 0.71 14.4 0.738 2.1 0.739
 11 0.741 3.5 0.697 7.4 0.729 3.6 0.706
 0.6 0.515 9.9 0.805 0.6 0.598 9.5 0.813
 0.2 0.685 29 0.979 8.2 0.756 29.5 0.777
 0.2 0.601 3.7 0.683 12.5 0.759 3.5 0.713
 NA NA 2.2 0.6 2.4 0.585 2.4 0.654
 NA NA 2.7 0.671 13.8 0.79 2.7 0.704
 NA NA 0.7 0.633 NA NA 0.7 0.578
 NA NA 0.2 0.31 NA NA 0.2 0.319
 NA NA 0.6 0.529 NA NA 0.4 0.411
